username,repo_name,stars,repo_url
mrdoob,three.js,82084,https://github.com/mrdoob/three.js
libgdx,libgdx,20006,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,17992,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,17354,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,14185,https://github.com/aframevr/aframe
ssloy,tinyrenderer,13705,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,12963,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11343,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9152,https://github.com/metafizzy/zdog
CesiumGS,cesium,8664,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7952,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7132,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6744,https://github.com/isl-org/Open3D
blender,blender,5593,https://github.com/blender/blender
domlysz,BlenderGIS,5213,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,4866,https://github.com/spritejs/spritejs
openscad,openscad,4793,https://github.com/openscad/openscad
jagenjo,webglstudio.js,4632,https://github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4623,https://github.com/tensorspace-team/tensorspace
YadiraF,PRNet,4607,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4420,https://github.com/AaronJackson/vrn
google,model-viewer,4335,https://github.com/google/model-viewer
ssloy,tinyraytracer,4171,https://github.com/ssloy/tinyraytracer
mosra,magnum,4032,https://github.com/mosra/magnum
FyroxEngine,Fyrox,3720,https://github.com/FyroxEngine/Fyrox
tengbao,vanta,3586,https://github.com/tengbao/vanta
cleardusk,3DDFA,3250,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3173,https://github.com/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,2955,https://github.com/cnr-isti-vclab/meshlab
antvis,L7,2675,https://github.com/antvis/L7
