username,repo_name,stars,repo_url
public-apis,public-apis,192626,https://github.com/public-apis/public-apis
neovim,neovim,53688,https://github.com/neovim/neovim
tiangolo,fastapi,45346,https://github.com/tiangolo/fastapi
strapi,strapi,45079,https://github.com/strapi/strapi
hoppscotch,hoppscotch,43547,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34078,https://github.com/slatedocs/slate
hasura,graphql-engine,26795,https://github.com/hasura/graphql-engine
ccxt,ccxt,24494,https://github.com/ccxt/ccxt
YMFE,yapi,24221,https://github.com/YMFE/yapi
Binaryify,NeteaseCloudMusicApi,24141,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,23400,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22189,https://github.com/littlecodersh/ItChat
httpie,httpie,21418,https://github.com/httpie/httpie
Kong,insomnia,20964,https://github.com/Kong/insomnia
paularmstrong,normalizr,20869,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20195,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19232,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17497,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17201,https://github.com/shieldfy/API-Security-Checklist
directus,directus,15986,https://github.com/directus/directus
ChainSafe,web3.js,14944,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,13960,https://github.com/learn-anything/learn-anything
youfou,wxpy,13250,https://github.com/youfou/wxpy
jsdoc,jsdoc,12897,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12566,https://github.com/BrainJS/brain.js
fangzesheng,free-api,12220,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,12194,https://github.com/OpenAPITools/openapi-generator
go-chi,chi,11454,https://github.com/go-chi/chi
postmanlabs,httpbin,10850,https://github.com/postmanlabs/httpbin
star7th,showdoc,10452,https://github.com/star7th/showdoc
