username,repo_name,stars,repo_url
ljianshu,Blog,7103,https://github.com/ljianshu/Blog
elbywan,wretch,2386,https://github.com/elbywan/wretch
nette,tracy,1515,https://github.com/nette/tracy
opensource-socialnetwork,opensource-socialnetwork,858,https://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,857,https://github.com/webcreate/infinite-ajax-scroll
karosLi,KKJSBridge,577,https://github.com/karosLi/KKJSBridge
cferdinandi,atomic,540,https://github.com/cferdinandi/atomic
GoogTech,sms-ssm,503,https://github.com/GoogTech/sms-ssm
englercj,resource-loader,396,https://github.com/englercj/resource-loader
jsGanttImproved,jsgantt-improved,380,https://github.com/jsGanttImproved/jsgantt-improved
klis87,redux-requests,362,https://github.com/klis87/redux-requests
dashborg,hibiki,416,https://github.com/dashborg/hibiki
loadingio,loading-bar,355,https://github.com/loadingio/loading-bar
yceruto,django-ajax,315,https://github.com/yceruto/django-ajax
trco,django-bootstrap-modal-forms,315,https://github.com/trco/django-bootstrap-modal-forms
tulios,mappersmith,306,https://github.com/tulios/mappersmith
davgothic,AjaxFileUpload,296,https://github.com/davgothic/AjaxFileUpload
anzhihe,Free-Web-Books,291,https://github.com/anzhihe/Free-Web-Books
donavon,thwack,272,https://github.com/donavon/thwack
GerryIsWarrior,ajax,265,https://github.com/GerryIsWarrior/ajax
maliangnansheng,bbs-ssm,273,https://github.com/maliangnansheng/bbs-ssm
kishan0725,AJAX-Movie-Recommendation-System-with-Sentiment-Analysis,253,https://github.com/kishan0725/AJAX-Movie-Recommendation-System-with-Sentiment-Analysis
iranianpep,ajax-live-search,245,https://github.com/iranianpep/ajax-live-search
rnicholus,ajax-form,234,https://github.com/rnicholus/ajax-form
ronffy,axios-tutorial,229,https://github.com/ronffy/axios-tutorial
BosNaufal,vue2-autocomplete,229,https://github.com/BosNaufal/vue2-autocomplete
ember-cli,ember-ajax,218,https://github.com/ember-cli/ember-ajax
Zaid-Ajaj,Fable.Remoting,222,https://github.com/Zaid-Ajaj/Fable.Remoting
msaad1999,KLiK-SocialMediaWebsite,210,https://github.com/msaad1999/KLiK-SocialMediaWebsite
zellwk,zl-fetch,204,https://github.com/zellwk/zl-fetch
