username,repo_name,stars,repo_url
jwasham,coding-interview-university,219851,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,151108,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,141091,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,136160,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,70123,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,57245,https://github.com/kdn251/interviews
azl397985856,leetcode,47985,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,46105,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,36812,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,26815,https://github.com/youngyangyang04/leetcode-master
donnemartin,interactive-coding-challenges,25447,https://github.com/donnemartin/interactive-coding-challenges
halfrost,LeetCode-Go,25089,https://github.com/halfrost/LeetCode-Go
huihut,interview,24203,https://github.com/huihut/interview
keon,algorithms,20815,https://github.com/keon/algorithms
TheAlgorithms,JavaScript,19932,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,19389,https://github.com/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19291,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,18476,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15323,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13429,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,13031,https://github.com/OpenGenus/cosmos
williamfiset,Algorithms,12650,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,11083,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10585,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9707,https://github.com/lnishan/awesome-competitive-programming
jeffgerickson,algorithms,7508,https://github.com/jeffgerickson/algorithms
LeetCode-OpenSource,vscode-leetcode,7313,https://github.com/LeetCode-OpenSource/vscode-leetcode
mgechev,javascript-algorithms,7242,https://github.com/mgechev/javascript-algorithms
gyoogle,tech-interview-for-developer,7116,https://github.com/gyoogle/tech-interview-for-developer
OlafenwaMoses,ImageAI,7034,https://github.com/OlafenwaMoses/ImageAI
