username,repo_name,stars,repo_url
serverless,serverless,42769,https://github.com/serverless/serverless
localstack,localstack,40971,https://github.com/localstack/localstack
bregman-arie,devops-exercises,24208,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12765,https://github.com/ramitsurana/awesome-kubernetes
pulumi,pulumi,12490,https://github.com/pulumi/pulumi
aws,aws-cli,12401,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12261,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10354,https://github.com/donnemartin/awesome-aws
mozilla,sops,9755,https://github.com/mozilla/sops
apereo,cas,9447,https://github.com/apereo/cas
aws,chalice,8884,https://github.com/aws/chalice
aws-amplify,amplify-js,8736,https://github.com/aws-amplify/amplify-js
aws,aws-cdk,8695,https://github.com/aws/aws-cdk
aws,serverless-application-model,8540,https://github.com/aws/serverless-application-model
apex,up,8536,https://github.com/apex/up
caprover,caprover,8608,https://github.com/caprover/caprover
google,go-cloud,8385,https://github.com/google/go-cloud
angristan,openvpn-install,8092,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7622,https://github.com/aws/aws-sdk-go
GoogleCloudPlatform,terraformer,7540,https://github.com/GoogleCloudPlatform/terraformer
hashicorp,terraform-provider-aws,7293,https://github.com/hashicorp/terraform-provider-aws
boto,boto3,7270,https://github.com/boto/boto3
aws,aws-sdk-js,7036,https://github.com/aws/aws-sdk-js
aws,amazon-sagemaker-examples,6898,https://github.com/aws/amazon-sagemaker-examples
infracost,infracost,6553,https://github.com/infracost/infracost
awslabs,aws-shell,6556,https://github.com/awslabs/aws-shell
serverless-stack,serverless-stack,6570,https://github.com/serverless-stack/serverless-stack
99designs,aws-vault,6249,https://github.com/99designs/aws-vault
gruntwork-io,terratest,6099,https://github.com/gruntwork-io/terratest
aws,aws-sam-cli,5972,https://github.com/aws/aws-sam-cli
