username,repo_name,stars,repo_url
flutter,flutter,140780,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,92810,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,65327,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,51039,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45795,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42675,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42173,https://github.com/square/okhttp
android,architecture-samples,40782,https://github.com/android/architecture-samples
Solido,awesome-flutter,40602,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,35086,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34930,https://github.com/fastlane/fastlane
airbnb,lottie-android,32769,https://github.com/airbnb/lottie-android
bumptech,glide,32599,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32536,https://github.com/shadowsocks/shadowsocks-android
Trinea,android-open-project,30930,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30830,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30701,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30353,https://github.com/bilibili/ijkplayer
skylot,jadx,30200,https://github.com/skylot/jadx
laurent22,joplin,29795,https://github.com/laurent22/joplin
zxing,zxing,29552,https://github.com/zxing/zxing
codepath,android_guides,27790,https://github.com/codepath/android_guides
alibaba,fastjson,24371,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23570,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22849,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22361,https://github.com/react-native-elements/react-native-elements
appwrite,appwrite,22183,https://github.com/appwrite/appwrite
google,iosched,21444,https://github.com/google/iosched
quasarframework,quasar,21246,https://github.com/quasarframework/quasar
futurice,android-best-practices,20062,https://github.com/futurice/android-best-practices
