username,repo_name,stars,repo_url
ansible,ansible,53200,https://github.com/ansible/ansible
trailofbits,algo,25504,https://github.com/trailofbits/algo
bregman-arie,devops-exercises,24208,https://github.com/bregman-arie/devops-exercises
StreisandEffect,streisand,22780,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,12654,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12261,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10991,https://github.com/ansible/awx
easzlab,kubeasz,8104,https://github.com/easzlab/kubeasz
khuedoan,homelab,5718,https://github.com/khuedoan/homelab
geerlingguy,ansible-for-devops,5787,https://github.com/geerlingguy/ansible-for-devops
curlconverter,curlconverter,5528,https://github.com/curlconverter/curlconverter
ansible-semaphore,semaphore,4941,https://github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,4752,https://github.com/Tikam02/DevOps-Guide
rundeck,rundeck,4573,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4283,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3616,https://github.com/clong/DetectionLab
ansible-community,molecule,3345,https://github.com/ansible-community/molecule
werf,werf,3135,https://github.com/werf/werf
netbootxyz,netboot.xyz,3037,https://github.com/netbootxyz/netboot.xyz
welliamcao,OpsManage,2937,https://github.com/welliamcao/OpsManage
ansible,ansible-lint,2791,https://github.com/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2744,https://github.com/dev-sec/ansible-collection-hardening
litmuschaos,litmus,2714,https://github.com/litmuschaos/litmus
alixaxel,chrome-aws-lambda,2676,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2335,https://github.com/roots/trellis
ansistrano,deploy,2176,https://github.com/ansistrano/deploy
fboender,ansible-cmdb,2073,https://github.com/fboender/ansible-cmdb
openshift,openshift-ansible,2056,https://github.com/openshift/openshift-ansible
pytest-dev,pytest-testinfra,2045,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,2006,https://github.com/leucos/ansible-tuto
