username,repo_name,stars,repo_url
arendst,Tasmota,17616,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13072,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,12873,https://github.com/arduino/Arduino
rwaldron,johnny-five,12642,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,9986,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9935,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,8639,https://github.com/espressif/arduino-esp32
platformio,platformio-core,5873,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5656,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5225,https://github.com/tzapu/WiFiManager
Arduino-IRremote,Arduino-IRremote,3623,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3399,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3247,https://github.com/NectarJS/nectarjs
olikraus,u8g2,3071,https://github.com/olikraus/u8g2
ClemensElflein,OpenMower,2878,https://github.com/ClemensElflein/OpenMower
1technophile,OpenMQTTGateway,2586,https://github.com/1technophile/OpenMQTTGateway
Serial-Studio,Serial-Studio,2625,https://github.com/Serial-Studio/Serial-Studio
scottlawsonbc,audio-reactive-led-strip,2313,https://github.com/scottlawsonbc/audio-reactive-led-strip
scottbez1,splitflap,2280,https://github.com/scottbez1/splitflap
isl-org,OpenBot,2173,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2113,https://github.com/crankyoldgit/IRremoteESP8266
stm32duino,Arduino_Core_STM32,1887,https://github.com/stm32duino/Arduino_Core_STM32
Bodmer,TFT_eSPI,1880,https://github.com/Bodmer/TFT_eSPI
nRF24,RF24,1879,https://github.com/nRF24/RF24
blinker-iot,blinker-library,1823,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1673,https://github.com/ThingPulse/esp8266-oled-ssd1306
vshymanskyy,TinyGSM,1450,https://github.com/vshymanskyy/TinyGSM
earlephilhower,ESP8266Audio,1382,https://github.com/earlephilhower/ESP8266Audio
omriharel,deej,1386,https://github.com/omriharel/deej
homieiot,homie-esp8266,1296,https://github.com/homieiot/homie-esp8266
