username,repo_name,stars,repo_url
atom,atom,57554,https://github.com/atom/atom
themerdev,themer,4699,https://github.com/themerdev/themer
nteract,hydrogen,3795,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3644,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3638,https://github.com/miniflux/v2
atom,teletype,2364,https://github.com/atom/teletype
mehcode,awesome-atom,1870,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1879,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1510,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1508,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1442,https://github.com/simplepie/simplepie
kurtmckee,feedparser,1413,https://github.com/kurtmckee/feedparser
t9md,atom-vim-mode-plus,1411,https://github.com/t9md/atom-vim-mode-plus
ocaml,merlin,1401,https://github.com/ocaml/merlin
MagicStack,MagicPython,1320,https://github.com/MagicStack/MagicPython
atom,apm,1250,https://github.com/atom/apm
file-icons,atom,1205,https://github.com/file-icons/atom
kettanaito,atomic-layout,1067,https://github.com/kettanaito/atomic-layout
atom,github,1028,https://github.com/atom/github
nmdias,FeedKit,985,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,961,https://github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,927,https://github.com/danhper/atomic-chrome
fwcd,kotlin-language-server,932,https://github.com/fwcd/kotlin-language-server
jesseweed,seti-ui,894,https://github.com/jesseweed/seti-ui
prettier,prettier-atom,777,https://github.com/prettier/prettier-atom
jpmonette,feed,782,https://github.com/jpmonette/feed
raphamorim,lucario,746,https://github.com/raphamorim/lucario
atom-community,atom-script,737,https://github.com/atom-community/atom-script
jasonmunro,cypht,720,https://github.com/jasonmunro/cypht
feeddd,feeds,711,https://github.com/feeddd/feeds
