username,repo_name,stars,repo_url
sindresorhus,awesome,202071,https://github.com/sindresorhus/awesome
vinta,awesome-python,127734,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,88860,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,80859,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,68302,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,60499,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,55605,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,51039,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,49317,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,46609,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,44598,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42675,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,40602,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,40210,https://github.com/prakhar1989/awesome-courses
MunGell,awesome-for-beginners,40163,https://github.com/MunGell/awesome-for-beginners
vsouza,awesome-ios,39470,https://github.com/vsouza/awesome-ios
fffaraz,awesome-cpp,37454,https://github.com/fffaraz/awesome-cpp
dkhamsing,open-source-ios-apps,30187,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29813,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26572,https://github.com/ziadoz/awesome-php
rust-unofficial,awesome-rust,25866,https://github.com/rust-unofficial/awesome-rust
alebcay,awesome-shell,23549,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22682,https://github.com/sindresorhus/awesome-electron
lukasz-madon,awesome-remote-job,22190,https://github.com/lukasz-madon/awesome-remote-job
matteocrippa,awesome-swift,21973,https://github.com/matteocrippa/awesome-swift
veggiemonk,awesome-docker,21809,https://github.com/veggiemonk/awesome-docker
AllThingsSmitty,css-protips,21303,https://github.com/AllThingsSmitty/css-protips
viatsko,awesome-vscode,20302,https://github.com/viatsko/awesome-vscode
tmrts,go-patterns,19155,https://github.com/tmrts/go-patterns
Awesome-Windows,Awesome,18956,https://github.com/Awesome-Windows/Awesome
