username,repo_name,stars,repo_url
bregman-arie,devops-exercises,24208,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,13179,https://github.com/microsoft/recommenders
ramitsurana,awesome-kubernetes,12765,https://github.com/ramitsurana/awesome-kubernetes
pulumi,pulumi,12490,https://github.com/pulumi/pulumi
Azure,azure-quickstart-templates,11788,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,9755,https://github.com/mozilla/sops
caprover,caprover,8608,https://github.com/caprover/caprover
microsoft,computervision-recipes,8463,https://github.com/microsoft/computervision-recipes
google,go-cloud,8385,https://github.com/google/go-cloud
microsoft,azuredatastudio,6792,https://github.com/microsoft/azuredatastudio
infracost,infracost,6553,https://github.com/infracost/infracost
node-formidable,formidable,6211,https://github.com/node-formidable/formidable
midwayjs,midway,5677,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,4990,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,4512,https://github.com/aquasecurity/tfsec
bridgecrewio,checkov,4210,https://github.com/bridgecrewio/checkov
cloud-custodian,cloud-custodian,4147,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,4273,https://github.com/nccgroup/ScoutSuite
Azure,autorest,3793,https://github.com/Azure/autorest
Azure,azure-sdk-for-net,3670,https://github.com/Azure/azure-sdk-for-net
simov,grant,3620,https://github.com/simov/grant
hashicorp,terraform-provider-azurerm,3344,https://github.com/hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3298,https://github.com/microsoft/SynapseML
Azure,azure-powershell,3085,https://github.com/Azure/azure-powershell
Azure,azure-cli,3073,https://github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,3082,https://github.com/Azure/MachineLearningNotebooks
Azure,azure-sdk-for-python,2793,https://github.com/Azure/azure-sdk-for-python
APIs-guru,openapi-directory,2786,https://github.com/APIs-guru/openapi-directory
mlabouardy,komiser,2769,https://github.com/mlabouardy/komiser
learntocloud,learn-to-cloud,2663,https://github.com/learntocloud/learn-to-cloud
