username,repo_name,stars,repo_url
babel,babel,40865,https://github.com/babel/babel
nylas,nylas-mail,24650,https://github.com/nylas/nylas-mail
swc-project,swc,22128,https://github.com/swc-project/swc
kriasoft,react-starter-kit,21193,https://github.com/kriasoft/react-starter-kit
avajs,ava,19800,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,19585,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,14908,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14398,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10945,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7900,https://github.com/grommet/grommet
developit,htm,7573,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6134,https://github.com/angular-fullstack/generator-angular-fullstack
ben-rogerson,twin.macro,5760,https://github.com/ben-rogerson/twin.macro
documentationjs,documentation,5516,https://github.com/documentationjs/documentation
insin,nwb,5458,https://github.com/insin/nwb
egoist,poi,5284,https://github.com/egoist/poi
thinkjs,thinkjs,5268,https://github.com/thinkjs/thinkjs
transitive-bullshit,create-react-library,4667,https://github.com/transitive-bullshit/create-react-library
fkling,astexplorer,4663,https://github.com/fkling/astexplorer
babel,babel-loader,4619,https://github.com/babel/babel-loader
duxianwei520,react,4518,https://github.com/duxianwei520/react
jaredpalmer,backpack,4464,https://github.com/jaredpalmer/backpack
babel,minify,4329,https://github.com/babel/minify
thx,gogocode,3254,https://github.com/thx/gogocode
tleunen,babel-plugin-module-resolver,3198,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,2983,https://github.com/andywer/webpack-blocks
babel,babel-eslint,2970,https://github.com/babel/babel-eslint
privatenumber,esbuild-loader,2877,https://github.com/privatenumber/esbuild-loader
kunalkapadia,express-mongoose-es6-rest-api,2844,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
Atyantik,react-pwa,2466,https://github.com/Atyantik/react-pwa
