username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,106197,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,57941,https://github.com/nvm-sh/nvm
junegunn,fzf,44430,https://github.com/junegunn/fzf
google,zx,31205,https://github.com/google/zx
dylanaraps,pure-bash-bible,31062,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,28791,https://github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,28538,https://github.com/LeCoupa/awesome-cheatsheets
mathiasbynens,dotfiles,27805,https://github.com/mathiasbynens/dotfiles
acmesh-official,acme.sh,26613,https://github.com/acmesh-official/acme.sh
starship,starship,26455,https://github.com/starship/starship
alebcay,awesome-shell,23549,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,18641,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,17982,https://github.com/withfig/autocomplete
dylanaraps,neofetch,15154,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15054,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14156,https://github.com/rbenv/rbenv
powerline,powerline,13285,https://github.com/powerline/powerline
shelljs,shelljs,13223,https://github.com/shelljs/shelljs
Bash-it,bash-it,12948,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12667,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12541,https://github.com/jessfraz/dockerfiles
denisidoro,navi,11080,https://github.com/denisidoro/navi
direnv,direnv,9075,https://github.com/direnv/direnv
rgcr,m-cli,8834,https://github.com/rgcr/m-cli
skywind3000,awesome-cheatsheets,8832,https://github.com/skywind3000/awesome-cheatsheets
alexanderepstein,Bash-Snippets,8718,https://github.com/alexanderepstein/Bash-Snippets
carlospolop,PEASS-ng,8724,https://github.com/carlospolop/PEASS-ng
kanaka,mal,8614,https://github.com/kanaka/mal
angristan,openvpn-install,8092,https://github.com/angristan/openvpn-install
extrawurst,gitui,7988,https://github.com/extrawurst/gitui
