username,repo_name,stars,repo_url
bitcoin,bitcoin,64211,https://github.com/bitcoin/bitcoin
ccxt,ccxt,24494,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17495,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,17453,https://github.com/freqtrade/freqtrade
askmike,gekko,9865,https://github.com/askmike/gekko
bbfamily,abu,9004,https://github.com/bbfamily/abu
solana-labs,solana,8564,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7165,https://github.com/lbryio/lbry-sdk
lightningnetwork,lnd,6024,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5689,https://github.com/spesmilo/electrum
butor,blackbird,5543,https://github.com/butor/blackbird
btcsuite,btcd,4787,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4595,https://github.com/bitcoinjs/bitcoinjs-lib
bisq-network,bisq,3982,https://github.com/bisq-network/bisq
jesse-ai,jesse,3910,https://github.com/jesse-ai/jesse
michaelgrosner,tribeca,3710,https://github.com/michaelgrosner/tribeca
RomelTorres,alpha_vantage,3647,https://github.com/RomelTorres/alpha_vantage
btcpayserver,btcpayserver,3546,https://github.com/btcpayserver/btcpayserver
bitpay,wallet,3487,https://github.com/bitpay/wallet
Jeiwan,blockchain_go,3364,https://github.com/Jeiwan/blockchain_go
SqueezerIO,squeezer,3250,https://github.com/SqueezerIO/squeezer
cointop-sh,cointop,3208,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2851,https://github.com/bitcoin-wallet/bitcoin-wallet
ctubio,Krypto-trading-bot,2746,https://github.com/ctubio/Krypto-trading-bot
lbryio,lbrycrd,2707,https://github.com/lbryio/lbrycrd
bcoin-org,bcoin,2690,https://github.com/bcoin-org/bcoin
stacks-network,stacks-blockchain,2660,https://github.com/stacks-network/stacks-blockchain
Xel,Blockchain-stuff,2639,https://github.com/Xel/Blockchain-stuff
imfly,bitcoin-on-nodejs,2404,https://github.com/imfly/bitcoin-on-nodejs
BlockchainCommons,Learning-Bitcoin-from-the-Command-Line,2289,https://github.com/BlockchainCommons/Learning-Bitcoin-from-the-Command-Line
