username,repo_name,stars,repo_url
ccxt,ccxt,24494,https://github.com/ccxt/ccxt
discordjs,discord.js,19359,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,18565,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16152,https://github.com/hubotio/hubot
InstaPy,InstaPy,14194,https://github.com/InstaPy/InstaPy
RasaHQ,rasa,14000,https://github.com/RasaHQ/rasa
wechaty,wechaty,12756,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12249,https://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11257,https://github.com/tgbot-collection/YYeTsBot
botpress,botpress,9705,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8942,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,8719,https://github.com/leon-ai/leon
microsoft,ailab,7037,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6876,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6795,https://github.com/microsoft/botframework-sdk
pedroslopez,whatsapp-web.js,6442,https://github.com/pedroslopez/whatsapp-web.js
yagop,node-telegram-bot-api,6152,https://github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,6102,https://github.com/maxbbraun/trump2cash
deepmipt,DeepPavlov,5732,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,5675,https://github.com/telegraf/telegraf
botman,botman,5632,https://github.com/botman/botman
axa-group,nlp.js,4917,https://github.com/axa-group/nlp.js
Mrs4s,go-cqhttp,4864,https://github.com/Mrs4s/go-cqhttp
jef,streetmerchant,4799,https://github.com/jef/streetmerchant
ohld,igbot,4201,https://github.com/ohld/igbot
BotsAppOfficial,BotsApp,4074,https://github.com/BotsAppOfficial/BotsApp
jesse-ai,jesse,3910,https://github.com/jesse-ai/jesse
Yoctol,bottender,3892,https://github.com/Yoctol/bottender
orkestral,venom,3856,https://github.com/orkestral/venom
chrisleekr,binance-trading-bot,3861,https://github.com/chrisleekr/binance-trading-bot
