username,repo_name,stars,repo_url
Genymobile,scrcpy,65327,https://github.com/Genymobile/scrcpy
neovim,neovim,53688,https://github.com/neovim/neovim
git,git,42166,https://github.com/git/git
obsproject,obs-studio,38364,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,37454,https://github.com/fffaraz/awesome-cpp
FFmpeg,FFmpeg,29699,https://github.com/FFmpeg/FFmpeg
vim,vim,27068,https://github.com/vim/vim
curl,curl,25067,https://github.com/curl/curl
huihut,interview,24203,https://github.com/huihut/interview
ggreer,the_silver_searcher,23649,https://github.com/ggreer/the_silver_searcher
ruby,ruby,19157,https://github.com/ruby/ruby
mpv-player,mpv,18678,https://github.com/mpv-player/mpv
pbatard,rufus,18344,https://github.com/pbatard/rufus
ossrs,srs,18131,https://github.com/ossrs/srs
google,flatbuffers,17913,https://github.com/google/flatbuffers
oracle,graal,17039,https://github.com/oracle/graal
radareorg,radare2,16260,https://github.com/radareorg/radare2
microsoft,vcpkg,15772,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,14734,https://github.com/kovidgoyal/kitty
allinurl,goaccess,14702,https://github.com/allinurl/goaccess
hashcat,hashcat,14469,https://github.com/hashcat/hashcat
jarun,nnn,14143,https://github.com/jarun/nnn
TheAlgorithms,C,13530,https://github.com/TheAlgorithms/C
facebook,infer,13297,https://github.com/facebook/infer
qmk,qmk_firmware,12321,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11411,https://github.com/s-matyukevich/raspberry-pi-os
skywind3000,kcp,11178,https://github.com/skywind3000/kcp
reactos,reactos,10973,https://github.com/reactos/reactos
jonas,tig,10862,https://github.com/jonas/tig
OpenRCT2,OpenRCT2,10551,https://github.com/OpenRCT2/OpenRCT2
