username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,25908,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,17832,https://github.com/refined-github/refined-github
checkly,headless-recorder,14172,https://github.com/checkly/headless-recorder
darkreader,darkreader,13960,https://github.com/darkreader/darkreader
unbug,codelf,12817,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,9390,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9134,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8476,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8417,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7764,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7144,https://github.com/alyssaxuu/screenity
dailydotdev,daily,7013,https://github.com/dailydotdev/daily
Kenshin,simpread,5919,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,4802,https://github.com/ajayyy/SponsorBlock
manojVivek,medium-unlimited,4798,https://github.com/manojVivek/medium-unlimited
dessant,buster,4800,https://github.com/dessant/buster
AutomaApp,automa,4560,https://github.com/AutomaApp/automa
alyssaxuu,omni,4558,https://github.com/alyssaxuu/omni
altair-graphql,altair,4193,https://github.com/altair-graphql/altair
webclipper,web-clipper,4180,https://github.com/webclipper/web-clipper
zxlie,FeHelper,4075,https://github.com/zxlie/FeHelper
openstyles,stylus,3888,https://github.com/openstyles/stylus
bilibili-helper,bilibili-helper-o,3759,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3695,https://github.com/dejan/rails_panel
hcfyapp,crx-selection-translate,3670,https://github.com/hcfyapp/crx-selection-translate
KartikTalwar,gmail.js,3491,https://github.com/KartikTalwar/gmail.js
honestbleeps,Reddit-Enhancement-Suite,3479,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3456,https://github.com/WorldBrain/Memex
ronggang,PT-Plugin-Plus,3406,https://github.com/ronggang/PT-Plugin-Plus
vinta,pangu.js,3438,https://github.com/vinta/pangu.js
