username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,145337,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,44430,https://github.com/junegunn/fzf
sharkdp,bat,34604,https://github.com/sharkdp/bat
wagoodman,dive,31949,https://github.com/wagoodman/dive
sherlock-project,sherlock,31517,https://github.com/sherlock-project/sherlock
google,zx,31205,https://github.com/google/zx
BurntSushi,ripgrep,31042,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29153,https://github.com/chubin/cheat.sh
cli,cli,28538,https://github.com/cli/cli
jesseduffield,lazygit,27471,https://github.com/jesseduffield/lazygit
spf13,cobra,26690,https://github.com/spf13/cobra
angular,angular-cli,25376,https://github.com/angular/angular-cli
alebcay,awesome-shell,23549,https://github.com/alebcay/awesome-shell
n8n-io,n8n,22451,https://github.com/n8n-io/n8n
google,python-fire,22424,https://github.com/google/python-fire
ibraheemdev,modern-unix,22539,https://github.com/ibraheemdev/modern-unix
sharkdp,fd,22620,https://github.com/sharkdp/fd
httpie,httpie,21418,https://github.com/httpie/httpie
vercel,pkg,21139,https://github.com/vercel/pkg
avajs,ava,19800,https://github.com/avajs/ava
chalk,chalk,18522,https://github.com/chalk/chalk
vadimdemedes,ink,18434,https://github.com/vadimdemedes/ink
urfave,cli,18309,https://github.com/urfave/cli
withfig,autocomplete,17982,https://github.com/withfig/autocomplete
svg,svgo,17695,https://github.com/svg/svgo
gpakosz,.tmux,16614,https://github.com/gpakosz/.tmux
allinurl,goaccess,14702,https://github.com/allinurl/goaccess
asdf-vm,asdf,14525,https://github.com/asdf-vm/asdf
antonmedv,fx,14285,https://github.com/antonmedv/fx
jarun,nnn,14143,https://github.com/jarun/nnn
